slug,name_en,name_ar,description_en,description_ar,collection,tier,family,intensity,longevity,sillage,top_notes_en,top_notes_ar,heart_notes_en,heart_notes_ar,base_notes_en,base_notes_ar,moods,occasions,is_featured,is_active,sku_50,price_50,stock_50,sku_100,price_100,stock_100,images
keravelle,Kéravelle,كيرافيل,"An ethereal, luminous fragrance that opens with warm spiced saffron and sweet jasmine. The heart reveals a glowing amber accord, while the base settles into woody resin and cedar with subtle sweetness.","عطرٌ أثيريٌّ مضيء يفتتح بالزعفران الدافئ المتبّل والياسمين الحلو. يكشف القلب عن نفحة عنبر متوهّجة، بينما تستقر القاعدة على راتنج خشبي وأرز بحلاوة خفيفة.",FRENCH,,AMBER,MODERATE,6,5,"Saffron,Jasmine","زعفران,ياسمين","Amberwood,Ambergris,Hedione","خشب العنبر,عنبر بحري,هيديون","Fir Resin,Cedar,Sugar,Ambroxan,Oakmoss","راتنج التنوب,أرز,سكر,أمبروكسان,طحلب البلوط","CALM,CONFIDENT","DAY,EVENING",true,true,JZ-KER-50,187000,22,JZ-KER-100,299900,16,
barco,Barco,باركو,"A legendary fruity-chypre fragrance opening with fresh apple and tart pineapple balanced by Italian bergamot brightness. The base is woody and earthy with oakmoss and ambergris.","عطر شيبر فاكهي أسطوري يفتتح بالتفاح الطازج والأناناس الحامض المتوازن مع إشراقة البرغموت الإيطالي. القاعدة خشبية ترابية بطحلب البلوط والعنبر البحري.",FRENCH,,WOODY,STRONG,8,7,"Apple,Blackcurrant,Pineapple,Italian Bergamot","تفاح,كشمش أسود,أناناس,برغموت إيطالي","Jasmine Blossom,Birch,Juniper Berries","زهر الياسمين,البتولا,توت العرعر","Oakmoss,Vanilla,Ambergris","طحلب البلوط,فانيليا,عنبر بحري","CONFIDENT,FRESH","DAY,EVENING",false,true,JZ-BAR-50,176900,20,JZ-BAR-100,309900,15,
travies,Travies,ترافييه,"Fresh and invigorating opening with crisp apple and zesty bergamot enhanced by warming ginger. Settles into a warm woody base with hints of tonka sweetness.","افتتاحية منعشة بالتفاح المقرمش والبرغموت اللاذع المعزّز بالزنجبيل الدافئ. تستقر على قاعدة خشبية دافئة بلمسات من حلاوة التونكا.",FRENCH,,WOODY,STRONG,8,7,"Apple,Ginger,Bergamot","تفاح,زنجبيل,برغموت","Sage,Juniper Berries,Geranium","مريمية,توت العرعر,إبرة الراعي","Amberwood,Tonka Bean,Cedar,Vetiver,Olibanum","خشب العنبر,حبة التونكا,أرز,نجيل الهند,لبان","FRESH,CONFIDENT","DAY,DAILY",false,true,JZ-TRV-50,179000,24,JZ-TRV-100,319900,18,
stellar,Stellar,ستيلار,"A bright, citrusy opening bursts with fresh Sicilian oranges and zesty bergamot. The heart transitions into floral neroli with warming spices, finishing with black tea and woody guaiac.","افتتاحية مشرقة بالحمضيات تنفجر بالبرتقال الصقلي الطازج والبرغموت اللاذع. ينتقل القلب إلى النيرولي الزهري مع توابل دافئة، ويختم بالشاي الأسود وخشب الغاياك.",FRENCH,,CITRUS,MODERATE,6,5,"Citron,Calabrian Bergamot,Sicilian Orange","أترج,برغموت كالابري,برتقال صقلي","Tunisian Neroli,Nigerian Ginger,Ceylon Cinnamon","نيرولي تونسي,زنجبيل نيجيري,قرفة سيلانية","Chinese Black Tea,Ambroxan,Guaiac Wood,Olibanum","شاي أسود صيني,أمبروكسان,خشب الغاياك,لبان","FRESH,CALM","DAY,DAILY",false,true,JZ-STL-50,184500,26,JZ-STL-100,289900,19,
brulant,Brulant,برولان,"A warm, spicy opening with peppery vibrancy and smooth cardamom. The heart reveals creamy toffee with cinnamon, while the base is soft suede and amber — sensual and intoxicating.","افتتاحية دافئة متبّلة بحيوية فلفلية وهيل ناعم. يكشف القلب عن توفي كريمي مع القرفة، بينما القاعدة جلد شمواه ناعم وعنبر — حسّي ومسكر.",FRENCH,,ORIENTAL,STRONG,8,7,"Pink Pepper,Cardamom,Violet","فلفل وردي,هيل,بنفسج","Lavender,Toffee,Cinnamon","لافندر,توفي,قرفة","Suede,Vanilla,Amberwood,Amber","جلد الشمواه,فانيليا,خشب العنبر,عنبر","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",false,true,JZ-BRU-50,182900,18,JZ-BRU-100,321400,12,
apple-vanilla,Apple Vanilla,آبل فانيليا,"A delightful fruity-gourmand opening bursting with crisp, juicy apples and tart berries. Sweet vanilla orchid and jasmine blossom create a creamy floral heart, settling into rich amber and creamy vanilla.","افتتاحية فاكهية حلوة بهيجة تنفجر بالتفاح العصيري المقرمش والتوت الحامض. يخلق أوركيد الفانيليا الحلو وزهر الياسمين قلباً زهرياً كريمياً، يستقر على عنبر غني وفانيليا كريمية.",FRENCH,SIGNATURE,GOURMAND,STRONG,8,7,"Juicy Red Apple,Blackcurrant,Vanilla Orchid","تفاح أحمر عصيري,كشمش أسود,أوركيد الفانيليا","Raspberry,Jasmine,Tonka Bean,Brown Sugar","توت العليق,ياسمين,حبة التونكا,سكر بني","Amber,Vanilla Flower,Musk,Patchouli","عنبر,زهرة الفانيليا,مسك,باتشولي","CALM,CONFIDENT","DAY,EVENING",true,true,JZ-APV-50,176900,20,JZ-APV-100,309900,14,
la-grace,La Grâce,لا غراس,"A bright, fruity opening with sparkling citrus and juicy peach notes. The heart blooms with creamy tuberose and lush peony, complemented by damask rose, finishing warm and sensual with vanilla musk.","افتتاحية مشرقة فاكهية بحمضيات متلألئة ونوتات الخوخ العصيري. يتفتّح القلب بمسك الروم الكريمي والفاوانيا الوافرة، يكمّله الورد الدمشقي، ويختم دافئاً وحسّياً بمسك الفانيليا.",FRENCH,,FLORAL,MODERATE,6,5,"Orange,Bergamot,Mandarin,Peach","برتقال,برغموت,يوسفي,خوخ","Tuberose,Peony,Damask Rose","مسك الروم,الفاوانيا,ورد دمشقي","Vanilla,Musk,Amber,Sandalwood","فانيليا,مسك,عنبر,صندل","CALM,CONFIDENT","DAY,EVENING",false,true,JZ-LGR-50,199900,22,JZ-LGR-100,322500,15,
monarch-absolute,Monarch Absolute,مونارك أبسولوت,"A decadent opening featuring truffle's earthy richness balanced with bright citrus and floral gardenia. A dark black-orchid accord, enhanced by fruity notes and creamy ylang-ylang, leads to a gourmand base of dark chocolate, incense and woods.","افتتاحية فاخرة تبرز ثراء الكمأة الترابي المتوازن مع حمضيات مشرقة وغاردينيا زهرية. نفحة أوركيد سوداء داكنة، يعزّزها نوتات فاكهية ويلانغ يلانغ كريمي، تقود إلى قاعدة شرقية بالشوكولاتة الداكنة والبخور والأخشاب.",FRENCH,SIGNATURE,ORIENTAL,IMPACTFUL,9,9,"Truffle,Gardenia,Black Currant,Ylang-Ylang,Jasmine,Bergamot,Mandarin,Amalfi Lemon","كمأة,غاردينيا,كشمش أسود,يلانغ يلانغ,ياسمين,برغموت,يوسفي,ليمون أمالفي","Orchid Floral,Spices,Gardenia,Fruity Notes,Ylang-Ylang,Jasmine,Lotus","أوركيد زهري,توابل,غاردينيا,نوتات فاكهية,يلانغ يلانغ,ياسمين,لوتس","Mexican Chocolate,Patchouli,Vanilla,Incense,Amber,Sandalwood,Vetiver,White Musk","شوكولاتة مكسيكية,باتشولي,فانيليا,بخور,عنبر,صندل,نجيل الهند,مسك أبيض","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",true,true,JZ-MNA-50,214900,16,JZ-MNA-100,364500,10,
petales-dores,Pétales Dorés,بيتال دوريه,"A fresh, vibrant floral opening with delicate peony and bright citrus sparkle. The heart is a beautiful rose and osmanthus accord, finishing with creamy sandalwood and subtle patchouli.","افتتاحية زهرية منعشة نابضة بالفاوانيا الرقيقة وتلألؤ الحمضيات المشرق. القلب نفحة ورد وأوسمانثوس جميلة، تختم بالصندل الكريمي والباتشولي الخفيف.",FRENCH,,FLORAL,LIGHT,4,3,"Peony,Citruses,Mandarin Orange","الفاوانيا,حمضيات,برتقال يوسفي","Osmanthus,Rose","أوسمانثوس,ورد","Sandalwood,Patchouli","صندل,باتشولي","CALM,FRESH","DAY,DAILY",false,true,JZ-PTD-50,179900,28,JZ-PTD-100,317900,20,
triumph,Triumph,تريومف,"A spicy, aromatic opening with fresh mint and warm spices creating an inviting blast. The heart deepens with geranium and cinnamon complexity, settling into a sophisticated woody base of sandalwood and cedar.","افتتاحية عطرية متبّلة بالنعناع الطازج والتوابل الدافئة تخلق انفجاراً جذّاباً. يتعمّق القلب بتعقيد إبرة الراعي والقرفة، يستقر على قاعدة خشبية راقية بالصندل والأرز.",FRENCH,,WOODY,STRONG,8,7,"Spearmint,Cardamom,Cinnamon,Bergamot","نعناع,هيل,قرفة,برغموت","Geranium,Cinnamon,Clove","إبرة الراعي,قرفة,قرنفل","Sandalwood,Cedar,Oakmoss,Vetiver,Amber","صندل,أرز,طحلب البلوط,نجيل الهند,عنبر","CONFIDENT,FRESH","DAY,EVENING",false,true,JZ-TRP-50,179900,22,JZ-TRP-100,317900,16,
